node_time_sec,elapsed_sec,cmd_forward_speed,cmd_angular_speed,imu_time_sec,imu_ang_z,imu_ang_vel_z,sensor_state_time,left_encoder,right_encoder
1776756533.807823,0.109724,0.000000,0.000000,,,,,,
1776756533.857877,0.159778,0.000000,0.000000,,,,,,
1776756533.907791,0.209693,0.000000,0.000000,,,,,,
1776756533.957851,0.259752,0.000000,0.000000,,,,,,
1776756534.007860,0.309762,0.000000,0.000000,,,,,,
1776756534.057837,0.359739,0.000000,0.000000,,,,,,
1776756534.107825,0.409726,0.000000,0.000000,,,,,,
1776756534.157823,0.459724,0.000000,0.000000,,,,,,
1776756534.207819,0.509721,0.000000,0.000000,,,,,,
1776756534.257822,0.559723,0.000000,0.000000,,,,,,
1776756534.307832,0.609733,0.000000,0.000000,,,,,,
1776756534.357808,0.659710,0.000000,0.000000,,,,,,
1776756534.407816,0.709717,0.000000,0.000000,,,,,,
1776756534.457821,0.759722,0.000000,0.000000,,,,,,
1776756534.507806,0.809707,0.000000,0.000000,,,,,,
1776756534.557803,0.859704,0.000000,0.000000,,,,,,
1776756534.607809,0.909710,0.000000,0.000000,,,,,,
1776756534.657835,0.959736,0.000000,0.000000,,,,,,
1776756534.707816,1.009717,0.000000,0.000000,,,,,,
1776756534.757803,1.059704,0.000000,0.000000,,,,,,
1776756534.807803,1.109704,0.000000,0.000000,,,,,,
1776756534.857816,1.159717,0.000000,0.000000,,,,,,
1776756534.907820,1.209721,0.000000,0.000000,,,,,,
1776756534.957804,1.259705,0.000000,0.000000,,,,,,
1776756535.007821,1.309723,0.000000,0.000000,,,,,,
1776756535.057809,1.359710,0.000000,0.000000,,,,,,
1776756535.107799,1.409700,0.000000,0.000000,,,,,,
1776756535.157824,1.459725,0.000000,0.000000,,,,,,
1776756535.207805,1.509706,0.000000,0.000000,,,,,,
1776756535.257810,1.559712,0.000000,0.000000,,,,,,
1776756535.307819,1.609720,0.000000,0.000000,,,,,,
1776756535.357835,1.659736,0.000000,0.000000,,,,,,
1776756535.407824,1.709725,0.000000,0.000000,,,,,,
1776756535.457819,1.759720,0.000000,0.000000,,,,,,
1776756535.507827,1.809728,0.000000,0.000000,,,,,,
1776756535.557839,1.859740,0.000000,0.000000,,,,,,
1776756535.607825,1.909726,0.000000,0.000000,,,,,,
1776756535.657835,1.959737,0.000000,0.000000,,,,,,
1776756535.707828,2.009729,0.000000,0.000000,,,,,,
1776756535.757829,2.059731,0.000000,0.000000,,,,,,
1776756535.807832,2.109733,0.000000,0.000000,,,,,,
1776756535.857834,2.159736,0.000000,0.000000,,,,,,
1776756535.907820,2.209721,0.000000,0.000000,,,,,,
1776756535.957811,2.259713,0.000000,0.000000,,,,,,
1776756536.007836,2.309737,0.000000,0.000000,,,,,,
1776756536.057851,2.359752,0.000000,0.000000,,,,,,
1776756536.107822,2.409723,0.000000,0.000000,,,,,,
1776756536.157815,2.459716,0.000000,0.000000,,,,,,
1776756536.207825,2.509726,0.000000,0.000000,,,,,,
1776756536.257823,2.559725,0.000000,0.000000,,,,,,
1776756536.307803,2.609704,0.000000,0.000000,,,,,,
1776756536.357818,2.659719,0.000000,0.000000,,,,,,
1776756536.407813,2.709714,0.000000,0.000000,,,,,,
1776756536.457809,2.759710,0.000000,0.000000,,,,,,
1776756536.507814,2.809715,0.000000,0.000000,,,,,,
1776756536.557806,2.859707,0.000000,0.000000,,,,,,
1776756536.607803,2.909704,0.000000,0.000000,,,,,,
1776756536.657809,2.959711,0.000000,0.000000,,,,,,
1776756536.707804,3.009705,0.000000,0.000000,,,,,,
1776756536.757804,3.059706,0.000000,0.000000,,,,,,
1776756536.807806,3.109707,0.000000,0.000000,,,,,,
1776756536.857805,3.159706,0.000000,0.000000,,,,,,
1776756536.907823,3.209724,0.000000,0.000000,,,,,,
1776756536.957802,3.259703,0.000000,0.000000,,,,,,
1776756537.007807,3.309708,0.000000,0.000000,,,,,,
1776756537.057804,3.359705,0.000000,0.000000,,,,,,
1776756537.107809,3.409710,0.000000,0.000000,,,,,,
1776756537.157808,3.459709,0.000000,0.000000,,,,,,
1776756537.207808,3.509709,0.000000,0.000000,,,,,,
1776756537.257799,3.559700,0.000000,0.000000,,,,,,
1776756537.307824,3.609725,0.000000,0.000000,,,,,,
1776756537.357804,3.659705,0.000000,0.000000,,,,,,
1776756537.407835,3.709737,0.000000,0.000000,,,,,,
1776756537.457822,3.759723,0.000000,0.000000,,,,,,
1776756537.507808,3.809710,0.000000,0.000000,,,,,,
1776756537.557825,3.859726,0.000000,0.000000,,,,,,
1776756537.607826,3.909728,0.000000,0.000000,,,,,,
1776756537.657823,3.959724,0.000000,0.000000,,,,,,
1776756537.707825,4.009726,0.000000,0.000000,,,,,,
1776756537.757812,4.059713,0.000000,0.000000,,,,,,
1776756537.807826,4.109727,0.000000,0.000000,,,,,,
1776756537.857829,4.159730,0.000000,0.000000,,,,,,
1776756537.907817,4.209719,0.000000,0.000000,,,,,,
1776756537.957834,4.259736,0.000000,0.000000,,,,,,
1776756538.007818,4.309720,0.000000,0.000000,,,,,,
1776756538.057854,4.359755,0.000000,0.000000,,,,,,
1776756538.107831,4.409732,0.000000,0.000000,,,,,,
1776756538.157813,4.459714,0.000000,0.000000,,,,,,
1776756538.207824,4.509726,0.000000,0.000000,,,,,,
1776756538.257809,4.559711,0.000000,0.000000,,,,,,
1776756538.307827,4.609729,0.000000,0.000000,,,,,,
1776756538.357811,4.659712,0.000000,0.000000,,,,,,
1776756538.407815,4.709717,0.000000,0.000000,,,,,,
1776756538.457811,4.759712,0.000000,0.000000,,,,,,
1776756538.507857,4.809758,0.000000,0.000000,,,,,,
1776756538.557833,4.859735,0.000000,0.000000,,,,,,
1776756538.607807,4.909708,0.000000,0.000000,,,,,,
1776756538.657835,4.959736,0.000000,0.000000,,,,,,
1776756538.707819,5.009721,0.000000,0.000000,,,,,,
1776756538.757847,5.059748,0.000000,0.000000,,,,,,
1776756538.807827,5.109728,0.000000,0.000000,,,,,,
1776756538.857817,5.159719,0.000000,0.000000,,,,,,
1776756538.907831,5.209732,0.000000,0.000000,,,,,,
1776756538.957814,5.259715,0.000000,0.000000,,,,,,
1776756539.007846,5.309747,0.000000,0.000000,,,,,,
1776756539.057823,5.359724,0.000000,0.000000,,,,,,
1776756539.107817,5.409719,0.000000,0.000000,,,,,,
1776756539.157828,5.459729,0.000000,0.000000,,,,,,
1776756539.207803,5.509705,0.000000,0.000000,,,,,,
1776756539.257852,5.559753,0.000000,0.000000,,,,,,
1776756539.307823,5.609725,0.000000,0.000000,,,,,,
1776756539.357809,5.659710,0.000000,0.000000,,,,,,
1776756539.407820,5.709722,0.000000,0.000000,,,,,,
1776756539.457869,5.759770,0.000000,0.000000,,,,,,
1776756539.507849,5.809750,0.000000,0.000000,,,,,,
1776756539.557823,5.859725,0.000000,0.000000,,,,,,
1776756539.607824,5.909725,0.000000,0.000000,,,,,,
1776756539.657820,5.959721,0.000000,0.000000,,,,,,
1776756539.707852,6.009753,0.000000,0.000000,,,,,,
1776756539.757854,6.059755,0.000000,0.000000,,,,,,
1776756539.807840,6.109741,0.000000,0.000000,,,,,,
1776756539.857831,6.159733,0.000000,0.000000,,,,,,
1776756539.907840,6.209741,0.000000,0.000000,,,,,,
1776756539.957860,6.259761,0.000000,0.000000,,,,,,
1776756540.007831,6.309732,0.000000,0.000000,,,,,,
1776756540.057854,6.359755,0.000000,0.000000,,,,,,
1776756540.107825,6.409726,0.000000,0.000000,,,,,,
1776756540.157845,6.459747,0.000000,0.000000,,,,,,
1776756540.207859,6.509761,0.000000,0.000000,,,,,,
1776756540.257834,6.559736,0.000000,0.000000,,,,,,
1776756540.307829,6.609730,0.000000,0.000000,,,,,,
1776756540.357830,6.659731,0.000000,0.000000,,,,,,
1776756540.407828,6.709729,0.000000,0.000000,,,,,,
1776756540.457866,6.759768,0.000000,0.000000,,,,,,
1776756540.507856,6.809757,0.000000,0.000000,,,,,,
1776756540.557830,6.859731,0.000000,0.000000,,,,,,
1776756540.607827,6.909729,0.000000,0.000000,,,,,,
1776756540.657824,6.959726,0.000000,0.000000,,,,,,
1776756540.707858,7.009759,0.000000,0.000000,,,,,,
